ID;Name;Price tax included;Categories (x,y,z...);Image URLs (x,y,z...);Description;Quantity;Feature (Name:Value:Position:Customized);
10; KLASYCZNY ŻYRANDOL KRYSZTAŁOWY DANIELLA W8 ;2999;ŻYRANDOLE/ŻYRANDOLE KLASYCZNE,Home;https://luminadeco.pl/4011/klasyczny-zyrandol-krysztalowy-daniella-w8.jpg;Kolekcja DANIELLA hipnotyzuje wytwornością oraz wysokogatunkowymi, wykonanymi z dbałością i precyzją kryształami. Na metalowej konstrukcji lampy, stworzonej z cienkich ramion i okazałego trzonu, umieszczono osiem źródeł światła, które zapewniają doskonałe doświetlenie oraz tworzą romantyczny nastrój we wnętrzach. Widniejące u góry żyrandola ozdoby przypominają kształtem łabędzie szyje, które doskonale komponują się z reprezentacyjnym dołem żyrandola, skonstruowanym z licznych, kryształowych wisiorów.;566;Kolor lampy:przezroczysty:1:2,Materiał lampy:szkło + metal + kryształ:1:2,Kolor kabla/łańcucha:szkło + metal + kryształ:1:2
11; KLASYCZNY ŻYRANDOL KRYSZTAŁOWY VENISIA W6 ;1599;ŻYRANDOLE/ŻYRANDOLE KLASYCZNE,Home;https://luminadeco.pl/8429/klasyczny-zyrandol-krysztalowy-venisia-w6.jpg;Seria VENISIA to odświeżona wersja tradycyjnej stylistyki wykorzystywanej w oświetleniu domowym. Zmysłowe kryształy, przypominające kształtem łzy szczęścia, w połączeniu z najwyższej jakości chromowaną stalą wytworzą magiczną atmosferę w każdym pomieszczeniu. Sypialnia nabierze królewskiego wdzięku, salon rozświetli się niczym komnaty Wersalu, a pokój gościnny wypełni się przytulnym nastrojem. Żyrandol ten znajdzie swe miejsce w eleganckich i gustownych sypialniach, efektownych i klasycznych salonach, a także wyrafinowanych pokojach gościnnych. Sześć srebrnych abażurów efektywnie rozproszy światło, nadając pomieszczeniom ponadczasowego szyku i blasku.;366;Kolor lampy:chrom:1:2,Materiał lampy:metal + tkanina + kryształ:1:2,Kolor kabla/łańcucha:metal + tkanina + kryształ:1:2
12; KLASYCZNY ŻYRANDOL KRYSZTAŁOWY ZŁOTY FABIONE W6 ;1599;ŻYRANDOLE/ŻYRANDOLE KLASYCZNE,Home;https://luminadeco.pl/4144/klasyczny-zyrandol-krysztalowy-zloty-fabione-w6.jpg;Klienci doceniają serię FABIONE za jej wyrafinowaną stylistykę. Za sprawą zaledwie jednego żyrandolu rozjaśniają całą przestrzeń pomieszczenia, zyskując dla niego efektowną centralną dekorację, od której nie da się oderwać wzroku. Klasyka nigdy nie wychodzi z mody. Gustowne rozwiązania zawsze są na topie. Sekret żyrandola FABIONE tkwi w jego ponadczasowym designie, który swoim pięknem poraża każdego.;84;Kolor lampy:złoty:1:2,Materiał lampy:metal + tkanina + kryształ:1:2,Kolor kabla/łańcucha:metal + tkanina + kryształ:1:2
13; KLASYCZNY ŻYRANDOL KRYSZTAŁOWY ZŁOTY DOMINNI W6 ;1699;ŻYRANDOLE/ŻYRANDOLE KLASYCZNE,Home;https://luminadeco.pl/7576/klasyczny-zyrandol-krysztalowy-zloty-dominni-w6.jpg;Kolekcja DOMINNI charakteryzuje się klasycznymi formami i regularną paletą barw. Posiada on sześć autonomicznych źródeł światła, których moc maksymalna może zapewnić doskonałe doświetlenie pomieszczenia. Każdy z kloszy umieszczony jest na osobnym, cienkim ramieniu metalowej oprawy, która składa się w zdobną, symetryczną kompozycję. Klosze wykonane są z doskonałej jakości szkła, przyozdobione są kryształowymi wahadełkami, przypominającymi zdobną biżuterię.;579;Kolor lampy:złoty + kremowy:1:2,Materiał lampy:kryształ + szkło + metal:1:2,Kolor kabla/łańcucha:kryształ + szkło + metal:1:2
14; KLASYCZNY ŻYRANDOL KRYSZTAŁOWY FONTENEA W6 ;749;ŻYRANDOLE/ŻYRANDOLE KLASYCZNE,Home;https://luminadeco.pl/4149/klasyczny-zyrandol-krysztalowy-fontenea-w6.jpg;Kolekcja FONTENEA obejmuje oświetlenie wykonane z dbałością o szczegóły oraz nawiązujące do klasycznych elementów tradycyjnych żyrandolach. Metalowa oprawa składa się z sześciu ramion w kolorze chromu i srebra, które wychodząc z trzonu żyrandola, rozchodzą się w kierunku sześciu źródeł światła. Abażury wykonane są z pięknej tkaniny w kolorze srebra, dzięki której wnętrze nabiera blasku, elegancji i klasy. Wszystko to zdobią niesłychanej urody kryształowe wisiorki zakończone nierównomiernie ukształtowanymi, kryształowymi kulami.;419;Kolor lampy:chrom + srebrny:1:2,Materiał lampy:kryształ + metal + tkanina:1:2,Kolor kabla/łańcucha:kryształ + metal + tkanina:1:2
15; KLASYCZNY ŻYRANDOL KRYSZTAŁOWY BIAŁY FINEZZIA W6 ;1599;ŻYRANDOLE/ŻYRANDOLE KLASYCZNE,Home;https://luminadeco.pl/7578/klasyczny-zyrandol-krysztalowy-srebrny-finezzia-w6.jpg;Seria FINEZZIA powstała z umiłowania zachwycającego blasku, który powstaje przy rozszczepieniu światła przez kryształ oraz wzorcowego piękna polerowanej stali.Żyrandol ten będzie doskonałym wyborem do klasycznych, eleganckich salonów, gustownych i zachwycających sypialni oraz imponujących i nastrojowych aranżacji komercyjnych. Za jego sprawą każde pomieszczenie nabierze zmysłowego, klimatycznego charakteru pałacowego oraz rozjaśni się w nocy ciepłym światłem. Będzie przy tym za dnia efektowną ozdobą, która przyjemnie rozproszy dzienne światło tworząc zachwycającą iluminację.Wykonany jest z wysokiej jakości metalu, dodatkowo pokrytego chromem oraz efektownych i trwałych kryształów.;794;Kolor lampy:biały + chrom:1:2,Materiał lampy:tkanina + kryształ + metal:1:2,Kolor kabla/łańcucha:tkanina + kryształ + metal:1:2
16; NOWOCZESNA LAMPA WISZĄCA ZŁOTA FREDICA W7 ;1099;LAMPY WISZĄCE/LAMPY WISZĄCE,Home;https://luminadeco.pl/8196/nowoczesna-lampa-wiszaca-zlota-fredica-w7.jpg;Złota oprawa lampy wiszącej FREDICA W7 genialnie wpisuje się w klimat nowoczesnego, minimalistycznego wzornictwa, które uszlachetnia, tworząc oświetlenie wytworne i z klasą, a jednocześnie doskonale wpisujące się w modne obecnie aranżacje przestrzeni salonów, gabinetów i jadalni. Dużą cechą lampy jest siedem kloszy umieszczonych na poprzecznej belce, co pozwala na równomierne doświetlenie wnętrza.;219;Kolor lampy:złoty:1:2,Materiał lampy:szkło + metal:1:2,Kolor kabla/łańcucha:szkło + metal:1:2
17; NOWOCZESNA LAMPA WISZĄCA SKANDYNAWSKA BROSSO D30 CLEAR ;249;LAMPY WISZĄCE/LAMPY WISZĄCE,Home;https://luminadeco.pl/8692/nowoczesna-lampa-wiszaca-skandynawska-brosso-d30-clear.jpg;Nowoczesna lampa wisząca w stylu skandynawskim o wyokrąglonym, bardzo przyjemnym obłym kształcie. Wykonana z przezroczystego, wyprofilowanego szkła, w którym zawarto wyeksponowane miejsce na jeden wyrazisty punkt świetlny. Przymocowana do czarnego regulowanego kabelka - oświetli zarówno stół w poczekalni lub jadalni, jak i stworzy główne oświetlenie poprzez zawieszenie jej przy suficie.;591;Kolor lampy:przezroczysty:1:2,Materiał lampy:metal + szkło:1:2,Kolor kabla/łańcucha:metal + szkło:1:2
18; NOWOCZESNA LAMPA WISZĄCA ZŁOTA VERONI D30 ;399;LAMPY WISZĄCE/LAMPY WISZĄCE,Home;https://luminadeco.pl/3472/nowoczesna-lampa-wiszaca-zlota-veroni-d30.jpg;Model z naszej najnowszej kolekcji, który z miejsca stał się bestsellerem. Nowatorska propozycja wyróżniająca się kloszem w kształcie kuli, w połowie złotym, a w połowie przezroczystym. Polecamy ten model do nowoczesnych wnętrz, zwłaszcza kuchni i jadalni. Złota oprawa jako typowy must have nowoczesnego, pełnego szyku i innowacji wnętrza salonu czy jadalni, pokrywa lampę wiszącą VERONI D30 nadając jej wytworności, ale i modnej nonszalancji. Innowacyjne wnętrza lubią prostotę wymieszaną z ekskluzywnością i taka właśnie jest ta lampa – minimalistyczna, ale i pełna blasku i szyku.;868;Kolor lampy:złoty + przezroczysty:1:2,Materiał lampy:szkło + metal:1:2,Kolor kabla/łańcucha:szkło + metal:1:2
19; NOWOCZESNA LAMPA WISZĄCA DISPOSA CLEAR D50 ;1399;LAMPY WISZĄCE/LAMPY WISZĄCE,Home;https://luminadeco.pl/4909/nowoczesna-lampa-wiszaca-disposa-clear-d50.jpg;Inspiracja czystą, nieskazitelną wręcz formą kryształu doprowadziła do wyodrębnienia kolekcji DISPOSA — serii nowoczesnych lamp wiszących, stających się mocnym punktem minimalistycznych salonów, pokojów gościnnych czy nawet hotelowych sal balowych i restauracji. Mimo niepodważalnie wystawnego designu kryształowa lampa wisząca odpowiada konstrukcyjnie modernistycznym oprawom. Nienachalny, prosty kształt jedynie eksponuje skupisko foremnych diamentów. To one są tu najważniejsze. Po zapaleniu światła przeobrażają się w błyszczącą kulę, maksymalnie rozjaśniając wnętrze.;260;Kolor lampy:przezroczysty:1:2,Materiał lampy:szkło + metal + kryształ:1:2,Kolor kabla/łańcucha:szkło + metal + kryształ:1:2
